Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
Subject_10,-0.5505321,-0.2887978,0.9362316,-0.1429987,0.9254164,0.7350651,-1.1059366,-1.1469715,1.3249956,0.38668206,0.88058144,-0.34251565,0.15367596,0.65267015,-0.2947964,-0.754476,0.062606275,-0.71119285,-0.27283987,2.0803428,0.2772127,-0.8218769,1.5069853,1.701508,0.16690816,0.39416593,-1.9811372,1.2904863,-1.0855769,-0.63635206
Subject_11,0.7862944,-0.6424823,1.0586898,-0.7813675,1.993106,-0.1910195,-0.7581706,-0.26897618,-0.34494472,-0.13543487,-0.41870058,-0.02076444,0.03808053,0.23973699,1.6421502,0.73097897,-1.0507443,0.35797423,-0.7291169,-0.532793,-1.808963,0.5456615,-0.7482236,0.39444435,-0.0562645,-0.8680005,-1.0919446,0.96008825,-0.0888549,0.5007239
Subject_12,-0.15729056,-0.83722395,-1.8983889,0.6249255,-0.6845012,-1.1812897,1.9179085,0.3577625,-0.6591833,1.6059016,-1.3830069,-0.8526205,1.2556611,-0.29790503,0.08678604,-0.6788237,-0.11672972,1.3024807,2.7442207,1.1576898,0.052495006,1.2976682,-0.29184252,-0.84424275,-1.0927484,1.1644992,0.7129645,-0.4858264,1.350109,-1.8034108
Subject_13,1.2141883,1.4331132,1.1289394,-0.95791817,-0.050279472,0.93218917,-1.0306975,-0.5456112,-1.5035684,-1.0084788,-0.19160108,1.7078223,-0.44200385,1.4964385,-0.2515619,1.8745989,-0.035693496,-1.4483162,-0.871158,0.17303272,0.51548666,-1.0275085,-1.0980077,-0.90201133,1.3228185,-1.084221,1.1012884,-1.2484151,-0.5774197,1.505101
Subject_14,0.37303817,0.70027643,0.57971066,-0.42468926,-0.5711865,-0.7897001,0.15208863,0.36277518,-0.16246273,-0.8193954,0.7904773,-1.260866,-0.53737146,0.3563522,0.23482037,1.0979266,0.031919014,-0.27293244,-0.99009675,-0.23969702,-0.46808934,1.021825,1.0728419,-0.57745844,-1.0576634,-1.073633,-0.36820167,-0.33142352,-0.6110805,-0.7127345
Subject_15,-1.3441632,-1.0983588,-1.5871532,2.270688,0.62613523,-1.1520245,1.112333,0.6234439,1.0210495,1.1622846,-0.0030262875,-1.2322199,1.113801,-1.0855652,-1.2076257,-0.34948537,-0.5773153,1.0572599,1.0826776,1.0932723,-0.6788876,1.5132828,0.90789384,1.6336435,-1.4091153,1.783276,1.1182363,-0.5633793,-0.37785968,-1.1852964
Subject_16,-0.88563967,0.63056,0.76813453,-0.6791527,-1.1360061,-0.8257537,0.14867646,-1.1116049,0.49715835,-1.0926785,-0.94489104,-0.59282273,-1.0867401,-1.3990031,0.07379097,0.5990816,0.64177084,-0.16114634,-0.35645226,0.7467099,0.48300704,1.8110636,0.65130806,-0.7823877,0.44117406,-0.48531914,-0.6382112,2.009753,-0.40096897,-0.27932543
Subject_17,-1.483556,1.1104351,0.57689273,-0.7254513,-1.1846633,0.72892654,-0.103174746,-1.2313125,-1.2114623,-1.3935821,-0.8885703,1.3061007,-0.9169431,0.9289822,2.2743828,0.78226113,0.926141,-0.44668525,-0.79987776,-0.9474795,0.63229996,-0.09718971,0.903527,-1.2915579,0.57652014,-1.1415641,-0.330496,-0.059028223,-0.54873395,0.67197776
Subject_18,0.17556109,-0.08622426,-0.2318235,-0.3500333,0.63781714,-1.0808697,0.5187548,0.5208094,0.97390527,0.13616215,-0.8528416,-0.660972,0.058581714,-0.5709785,1.1252466,0.031583127,-0.5319117,0.25000626,-0.2838984,0.4830329,0.76196057,-0.55245256,-0.59780437,-0.8307913,-0.76033527,-0.28709558,-1.0287242,0.7665069,0.9688519,-0.39877164
Subject_19,-0.17247735,-1.9390926,0.71357626,0.70733804,0.9629134,0.17918575,-1.2765462,0.5801911,-0.26212996,0.81670624,-0.3236317,-1.0003531,0.8539909,-0.841928,-1.3617584,0.8359225,-0.30246156,0.8338622,2.111,0.68311363,-1.6652498,1.0317229,-0.6549378,1.6352296,-0.07719127,0.6480058,-0.5644737,0.40854973,1.2648394,0.12755333
Subject_20,-0.30227304,-0.8356438,0.13473552,-0.63418025,-0.65138316,-0.6817526,-0.56672466,0.37570602,0.7387338,0.4468786,0.15087701,-0.5904352,-0.082352675,0.57574195,0.6289666,-0.91980267,-0.9380123,0.47372988,-0.35251218,0.33976436,0.8966125,-1.2759851,-0.4409623,-0.46851,0.5177843,-0.1913764,-1.074198,2.022366,-0.4909001,0.46922025
Subject_21,0.69145423,0.9785069,1.2340364,-1.1918916,-0.8482537,0.96277463,-0.69722855,0.61931604,-1.1865101,-1.9716573,0.5602081,-0.910388,-0.84323895,1.1809049,0.5364511,1.2732588,-0.97009104,-0.5708252,-1.4305904,-0.6904986,0.31215867,-1.0350382,-1.0383143,-0.13395114,1.2819339,-1.3634349,0.767395,-1.084179,-0.060704216,0.78482723
Subject_22,0.7266199,-0.52534384,0.6244208,-0.91234404,0.4813041,-0.5873918,0.34039804,-1.1432568,0.85172737,0.8521115,-0.9832629,-0.3789396,-1.4078271,0.76281846,1.0342827,-0.061254695,-1.5108883,-0.35635558,-1.3360171,-0.6934454,1.136105,-1.0117179,0.53648883,-1.0182652,-0.78908825,-0.30206028,-1.1636038,0.5739653,-0.17210385,0.14263317
Subject_23,0.33726698,-0.10364041,0.19251864,0.634209,0.58682674,-0.009519798,-0.26812088,-0.34721747,-0.40798828,-0.7630749,1.3565427,0.5103826,0.8088275,0.4507416,0.071187876,1.1130439,0.31765828,-0.45913857,-0.41825512,0.46497232,0.21759118,0.9348949,-0.5534129,0.35978428,0.5219078,-0.61131465,-1.3951287,0.889313,-0.07777608,0.14162543
Subject_24,-1.4676588,-0.3627804,-0.43940815,-0.41437778,1.2040743,0.32242674,0.5618873,1.1153102,1.0634542,0.5875428,0.64787483,-0.3825058,-0.06920532,0.6017261,0.88389015,-1.1347947,-0.7550266,0.2488897,-0.80945104,-0.9218222,1.1755537,-0.5389938,-0.64472586,-0.5887933,0.85864484,-0.8034422,-0.48963046,1.2213799,0.91787374,-0.1753742
Subject_25,1.1533843,0.553158,0.57122135,-0.90292275,-1.46359,0.0057591214,-0.12760976,-1.6943674,-0.93236005,0.40013552,-0.94068193,0.9614792,-1.1853873,0.9819004,1.6724936,1.4693353,0.078111604,1.2590567,0.8129398,-1.4713446,0.8289197,-0.6096659,-0.4113878,-0.08305954,0.42079604,-0.9806957,-0.10659216,-0.8658028,1.7479435,0.9143117
Subject_26,-0.15303081,1.0432892,-1.0204492,0.31825408,-0.56242645,0.8551853,1.9961222,2.67748,0.19987309,0.5481009,-0.53632176,0.6485308,-0.7476469,0.38008448,0.12035601,1.7192832,1.767951,-0.55230063,-1.1145054,-1.0581092,-0.32095373,0.49271417,0.79580164,-1.2252016,-2.4587576,-0.36935097,0.4790912,-0.42697677,-0.47365478,-1.0461144
Subject_27,-0.33938447,0.5415211,-1.0758994,0.4383831,0.887814,1.124405,0.7685054,1.1142071,-0.98489124,0.4278488,-0.15221363,0.38044965,1.2875834,-0.25316986,0.28349316,-0.95579445,-0.30177274,-0.14194727,0.297655,0.06739574,0.6189001,0.5233839,0.3116041,1.2116138,0.5285656,-0.33335504,-0.19499972,-0.5950484,-0.9892639,-1.170472
Subject_28,-0.33334798,0.9652571,0.9081626,-0.9167346,-0.63145965,-1.3619521,-0.9587903,-1.0479413,0.12047183,1.10357,-0.30622584,0.42655048,-1.4925352,1.2028725,0.78568,-0.0617373,-1.1543322,-1.3967378,-1.7634923,-0.5579954,0.29458493,-0.86574054,-0.7810275,0.3669282,0.85094666,-1.3226721,1.6888361,0.8190238,-0.54323304,-0.77251726
Subject_29,-1.9569143,0.17078702,-0.69507265,-0.5874959,-0.7601101,0.16337498,0.6723123,0.5115115,-0.5989137,0.31298935,0.6534697,-0.6410286,1.683897,-0.029909568,-0.97034305,-2.1706796,-0.9430802,0.03587515,-0.3640855,0.5785135,1.2125432,-0.79128087,0.69250554,1.2921056,0.6895062,0.6710698,0.09903071,-0.3004702,-1.3064477,0.60798454
Subject_30,0.20992231,0.40026608,0.820166,-0.80688506,-1.4135691,0.18864137,-0.49302134,-0.8096481,-1.038826,0.053481586,-1.847433,-0.39215103,-0.92363554,-0.77012306,1.391094,0.7141296,0.89962316,0.33537173,-0.42177442,-1.0206625,-0.046008997,1.6231331,1.0304258,-0.8122668,-0.96872556,-0.3460604,-0.92621267,0.9773665,0.6839361,0.6315614
Subject_31,-1.205881,-0.87159365,1.015167,-0.5070235,1.0655646,0.9175585,-0.8334417,1.1776818,-1.0550675,-0.437948,0.5770176,-2.4320948,0.48304018,-1.6720886,-1.2846823,-0.2418012,0.4270392,2.3657732,1.5137048,-0.17989029,-1.7608656,0.8067551,-0.077589646,1.0364723,-0.57503015,0.8034356,0.699734,-0.25045487,0.19102867,1.2793405
